DATA;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;num_semaforo;sentido_via;tipo;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2018-01-01;00:01:00;COM VÍTIMA;FINALIZADA;SÃO JOSÉ;AV ENGENHEIRO JOSE ESTELITA;;;EM FRENTE AO CAIS JOSE ESTELITA;AV ENGENHEIRO JOSE ESTELITA;;EM FRENTE AO CAIS JOSE ESTELITA;SÃO JOSÉ;;;ATROPELAMENTO;AUTO E PEDESTRE C/V;1;;;;1;;;;;1;;;;;;;;;;;;;;
2018-01-01;02:45:00;SEM VÍTIMA;CANCELADA;CORDEIRO;AV CAXANGA;;;PROX DO GALETOS, EM FRENTE AO PARQUE DE EXPOSIÇÕES, SENTIDO CIDADE;AV CAXANGA;;PROX DO GALETOS, EM FRENTE AO PARQUE DE EXPOSIÇÕES, SENTIDO CIDADE;CORDEIRO;;;COLISÃO;COLISÃO ENTRE AUTO E MO S/V;1;1;;;;;;;;0;;;;;;;;;;;;;;
2018-01-01;03:33:00;SEM VÍTIMA;CANCELADA;BOA VIAGEM;AV CONSELHEIRO AGUIAR;;;PROX DO BANCO DO BRASIL, PROX DO BANCO ITAÚ;AV CONSELHEIRO AGUIAR;;PROX DO BANCO DO BRASIL, PROX DO BANCO ITAÚ;BOA VIAGEM;;;COLISÃO;COLISÃO ENTRE UM AUTO(TAXI) E VIATURA DA AERONAUTICA S/V;1;;;;;;;1;;0;;;;;;;;;;;;;;
2018-01-01;07:13:00;SEM VÍTIMA;FINALIZADA;BAIRRO DO RECIFE;AV ALFREDO LISBOA;;;PROX AO POSTO DE GASOLINA BR AO LADO DO ARMAZEM 14;AV ALFREDO LISBOA;;PROX AO POSTO DE GASOLINA BR AO LADO DO ARMAZEM 14;BAIRRO DO RECIFE;;;COLISÃO;COLISÃO SEM VITIMAS;2;;;;;;;;;0;;;;;;;;;;;;;;
2018-01-01;07:50:00;SEM VÍTIMA;FINALIZADA;CASA AMARELA;RUA PADRE LEMOS;767;;EM FRENTE AO POSTO PETROBRAS;RUA PADRE LEMOS;767;EM FRENTE AO POSTO PETROBRAS;CASA AMARELA;;;COLISÃO;TAXI E AUTO;2;;;;;;;;;0;;;;;;;;;;;;;;
2018-01-01;16:01:00;SEM VÍTIMA;FINALIZADA;ÁGUA FRIA;RUA MAJOR GUILHERME BONIFACIO;108;;PROX A PADARIA SANTO ANTÔNIO / E/F AO DEPOSITO- CHARLES BEBIDAS;RUA MAJOR GUILHERME BONIFACIO;108;PROX A PADARIA SANTO ANTÔNIO / E/F AO DEPOSITO- CHARLES BEBIDAS;ÁGUA FRIA;;;COLISÃO;2 AUTOS. S/V;2;;;;;;;;;0;;;;;;;;;;;;;;
2018-01-01;18:11:00;SEM VÍTIMA;FINALIZADA;ARRUDA;AV BEBERIBE;;RUA ALEGRE;CRUZAMENTO COM A RUA ALEGRE SEMAFORO 064;AV BEBERIBE;;CRUZAMENTO COM A RUA ALEGRE SEMAFORO 064;ARRUDA;;;COLISÃO;AUTO E ONIBUS ;1;;;;;1;;;;0;;;;;;;;;;;;;;
2018-01-01;18:32:00;SEM VÍTIMA;CANCELADA;ILHA JOANA BEZERRA;VIADUTO CAPITAO TEMUDO;;;EM CIMA DO VIADULTO, SENT. AFOGADOS;VIADUTO CAPITAO TEMUDO;;EM CIMA DO VIADULTO, SENT. AFOGADOS;ILHA JOANA BEZERRA;;;COLISÃO;AUTO E MOTO;1;1;;;;;;;;0;;;;;;;;;;;;;;
2018-01-02;01:14:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV DES JOSE NEVES;;;SAINDO DO TÚNEL, SENTIDO AEROPORTO // SEMÁFORO 567;AV DES JOSE NEVES;;SAINDO DO TÚNEL, SENTIDO AEROPORTO // SEMÁFORO 567;BOA VIAGEM;;;CHOQUE;VEÍCULO CHOCOU-SE CONTRA UM POSTE;1;;;;;;;;;0;;;;;;;;;;;;;;
2018-01-02;08:08:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;RUA ALVARES DE AZEVEDO;180;;AO LADO DO PROCAPE,SEMAFORO 093;RUA ALVARES DE AZEVEDO;180;AO LADO DO PROCAPE,SEMAFORO 093;SANTO AMARO;;;COLISÃO;SEM VITIMAS;1;;;;;1;;;;0;;;;;;;;;;;;;;
2018-01-02;09:40:00;SEM VÍTIMA;FINALIZADA;AFOGADOS;RUA VINTE E UM DE ABRIL;2225;;EM FRENTE A LOJA MULTILAR;RUA VINTE E UM DE ABRIL;2225;EM FRENTE A LOJA MULTILAR;AFOGADOS;;;COLISÃO;SEM VITIMAS;1;;;;;1;;;;0;;;;;;;;;;;;;;
2018-01-02;09:47:00;SEM VÍTIMA;FINALIZADA;CASA FORTE;AV DEZESSETE DE AGOSTO;;;FARMACIA PAGUE MENOS;AV DEZESSETE DE AGOSTO;;FARMACIA PAGUE MENOS;CASA FORTE;;;COLISÃO;SEM VITIMAS CTTU VT 13 NO LOCAL E VAI FAZER O B.O;2;;;;;;1;;;0;;;;;;;;;;;;;;
2018-01-02;09:48:00;SEM VÍTIMA;FINALIZADA;ESTÂNCIA;AV JOAO CABRAL DE MELO NETO;;;SENTIDO, AV RECIFE. SEMÁFORO 259. E/F AO DO CERPE;AV JOAO CABRAL DE MELO NETO;;SENTIDO, AV RECIFE. SEMÁFORO 259. E/F AO DO CERPE;ESTÂNCIA;;;COLISÃO;SEM VÍTIMAS;1;;;;;1;;;;0;;;;;;;;;;;;;;
2018-01-02;11:28:00;SEM VÍTIMA;FINALIZADA;CASA AMARELA;RUA PAULA BATISTA;517;EST DO ARRAIAL;CRUZ COM A ESTRADA DO ARRAIAL NA RUA DA DELEGACIA DE CASA AMARELA NO SEMAFORO Nº283;RUA PAULA BATISTA;517;CRUZ COM A ESTRADA DO ARRAIAL NA RUA DA DELEGACIA DE CASA AMARELA NO SEMAFORO Nº283;CASA AMARELA;;;COLISÃO;COLISÃO SEM VITIMAS;3;;;;;;;;;0;;;;;;;;;;;;;;
2018-01-02;13:13:00;SEM VÍTIMA;FINALIZADA;TAMARINEIRA;RUA CONEGO BARATA;;;DEFRONTE A FERREIRA COSTA, HOSP. ELENA MOURA;RUA CONEGO BARATA;;DEFRONTE A FERREIRA COSTA, HOSP. ELENA MOURA;TAMARINEIRA;;;COLISÃO;COLISÃO SEM VITIMAS;1;;;;;;1;;;0;;;;;;;;;;;;;;
