chave_acesso;serie;numero;natureza_operacao;data;cnpj
4,22201E+43;3;549957;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:02;7,43252E+12
4,22201E+43;3;549982;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:03;7,43252E+12
4,22201E+43;3;549998;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:06;7,43252E+12
4,22201E+43;3;550063;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:12;7,43252E+12
4,22201E+43;3;550189;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:24;7,43252E+12
4,22201E+43;3;550191;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:24;7,43252E+12
4,22201E+43;3;550290;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:33;7,43252E+12
4,22201E+43;3;550413;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:46;7,43252E+12
4,22201E+43;3;550491;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:55;7,43252E+12
4,22201E+43;3;550491;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:55;7,43252E+12
4,22201E+43;3;550491;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:55;7,43252E+12
4,22201E+43;3;550491;Outra saida merc./prest.serv. nao especif.;01/01/2022 00:55;7,43252E+12
4,22201E+43;3;550666;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:22;7,43252E+12
4,22201E+43;3;550666;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:22;7,43252E+12
4,22201E+43;3;550672;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:23;7,43252E+12
4,22201E+43;3;550672;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:23;7,43252E+12
4,22201E+43;3;550945;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:44;7,43252E+12
4,22201E+43;3;550945;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:44;7,43252E+12
4,22201E+43;3;550945;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:44;7,43252E+12
4,22201E+43;3;550945;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:44;7,43252E+12
4,22201E+43;3;550945;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:44;7,43252E+12
4,22201E+43;3;550945;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:44;7,43252E+12
4,22201E+43;3;550945;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:44;7,43252E+12
4,22201E+43;3;550960;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:46;7,43252E+12
4,22201E+43;3;550960;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:46;7,43252E+12
4,22201E+43;3;550960;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:46;7,43252E+12
4,22201E+43;3;550907;Outra saida merc./prest.serv. nao especif.;01/01/2022 01:59;7,43252E+12
4,22201E+43;3;550888;Outra saida merc./prest.serv. nao especif.;01/01/2022 02:13;7,43252E+12
4,22201E+43;3;550888;Outra saida merc./prest.serv. nao especif.;01/01/2022 02:13;7,43252E+12
4,22201E+43;3;550888;Outra saida merc./prest.serv. nao especif.;01/01/2022 02:13;7,43252E+12
4,22201E+43;3;550888;Outra saida merc./prest.serv. nao especif.;01/01/2022 02:13;7,43252E+12
4,22201E+43;3;550888;Outra saida merc./prest.serv. nao especif.;01/01/2022 02:13;7,43252E+12
4,22201E+43;3;550888;Outra saida merc./prest.serv. nao especif.;01/01/2022 02:13;7,43252E+12
5,32201E+43;5;18378;PRESTACAO SERVICOS;01/01/2022 02:25;4,02813E+13
3,52201E+43;2;5398;DEV. REMESSA A ORDEM;01/01/2022 02:32;1,19092E+13
