data;hora;natureza_acidente;bairro;endereco;tipo;auto;moto;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;ano
01/01/2019;00:41:00;SEM VÍTIMA;IPSEP;AV RECIFE;COLISÃO TRASEIRA;2;;;;;;;;0;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;2019
01/01/2019;01:37:00;SEM VÍTIMA;BOA VIAGEM;RUA PADRE BERNADINO PESSOA;ABALROAMENTO TRANSVERSAL;2;;;;;;;;0;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;2019
01/01/2019;14:20:00;SEM VÍTIMA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;COLISÃO;2;;;;;;;;0;;;;;;;;;;2019
01/01/2019;02:53:00;SEM VÍTIMA;IMBIRIBEIRA;AV GENERAL MAC ARTHUR;COLISÃO;2;;;;;;;;0;;;;;;;;;;2019
01/01/2019;08:17:00;COM VÍTIMA;JAQUEIRA;RUA TITO ROSAS;COLISÃO COM CICLISTA;;;1;;1;;;;1;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;2019
01/01/2019;09:30:00;COM VÍTIMA;IBURA;AV DOIS RIOS;COLISÃO FRONTAL;1;1;;;;;;;2;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;30 km/h;2019
01/01/2019;09:54:00;COM VÍTIMA;SAN MARTIN;AV GENERAL SAN MARTIN;CHOQUE OBJETO FIXO;1;;;;;;;;4;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Outros;R-6a;40 km/h;2019
01/01/2019;13:05:00;SEM VÍTIMA;BONGI;EST DO BONGI;CHOQUE VEÍCULO PARADO;1;;;;;1;;;0;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;2019
01/01/2019;15:50:00;SEM VÍTIMA;MADALENA;EST DOS REMEDIOS;COLISÃO TRASEIRA;2;;;;;;;;0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;2019
01/01/2019;16:01:00;COM VÍTIMA;CAMPO GRANDE;EST DE BELEM;ATROPELAMENTO;1;;;;;;;;1;;;;;;;;;;2019
