data,hora,natureza_acidente,bairro,endereco,tipo,auto,moto,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimas_fatais,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,ano
01/01/2021,19:44:00,COM VÍTIMA,MADALENA,RUA BENFICA,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,1,0,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Não há placas,2021
01/01/2021,23:15:40,COM VÍTIMA,VÁRZEA,AV CAXANGA,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,1,0,Bom,Sem defeito,Perfeito estado,Oleosa,Perfeito estado,Outros,Outras,2021
02/01/2021,10:54:00,COM VÍTIMA,VASCO DA GAMA,RUA RESPLENDOR,COLISÃO COM CICLISTA,1,1,1,0,0,0,0,0,1,0,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,2021
02/01/2021,11:13:00,COM VÍTIMA,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,COLISÃO LATERAL,1,1,0,0,0,0,0,0,1,0,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,2021
03/01/2021,09:32:00,COM VÍTIMA,ILHA DO RETIRO,AV ENGENHEIRO ABDIAS DE CARVALHO,COLISÃO LATERAL,1,1,0,0,0,0,0,0,2,0,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,2021
03/01/2021,11:07:00,SEM VÍTIMA,CASA AMARELA,RUA OSCAR DE BARROS,CHOQUE,1,0,0,0,0,0,0,0,0,0,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,2021
03/01/2021,15:00:00,COM VÍTIMA,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,COLISÃO LATERAL,1,1,0,0,0,0,0,0,1,0,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,2021
03/01/2021,15:39:00,SEM VÍTIMA,IPSEP,RUA JEAN EMILE FAVRE,COLISÃO TRANSVERSAL,2,0,0,0,0,0,0,0,0,0,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,2021
03/01/2021,21:19:40,SEM VÍTIMA,ESPINHEIRO,RUA DO ESPINHEIRO,COLISÃO TRANSVERSAL,2,0,0,0,0,0,0,0,0,0,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,2021
04/01/2021,09:56:00,COM VÍTIMA,ENCRUZILHADA,RUA FERNANDO CESAR,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,1,0,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,2021
