data;hora;natureza_acidente;bairro;endereco;tipo;auto;moto;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimas_fatais;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;ano
01/01/2020;00:39:00;SEM VÍTIMA;ÁGUA FRIA;RUA SAO SEBASTIAO;COLISÃO;2;;;;;;;;0;;;;;;;;;;2020
01/01/2020;01:04:00;SEM VÍTIMA;CORDEIRO;AV CAXANGA;ABALROAMENTO LONGITUDINAL;2;;;;;;;;0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;60 km/h;2020
01/01/2020;02:16:00;SEM VÍTIMA;AREIAS;AV RECIFE;CHOQUE VEÍCULO PARADO;2;;;;;;;;0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;2020
01/01/2020;02:22:00;SEM VÍTIMA;BOA VIAGEM;AV BOA VIAGEM;COLISÃO TRASEIRA;2;;;;;;;;0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;2020
01/01/2020;03:33:00;SEM VÍTIMA;PAISSANDU;AV GOVERNADOR AGAMENON MAGALHAES;ABALROAMENTO TRANSVERSAL;2;;;;;;;;0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;2020
01/01/2020;04:18:00;SEM VÍTIMA;BARRO;AV DR JOSE RUFINO;COLISÃO TRASEIRA;2;;;;;;;;0;;Bom;Não existe;Ilegível;Seca;Mal conservada;Não existe;Não há placas;;2020
01/01/2020;04:47:00;SEM VÍTIMA;PINA;AV CONSELHEIRO AGUIAR;CHOQUE OBJETO FIXO;1;;;;;;;;0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;2020
01/01/2020;09:06:00;COM VÍTIMA;PINA;AVENIDA CELSO FURTADO (VIA MANGUE);CHOQUE OBJETO FIXO;;1;;;;;;;2;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;Não há placas;60 km/h;2020
01/01/2020;10:07:00;COM VÍTIMA;MADALENA;EST DOS REMEDIOS;CHOQUE OBJETO FIXO;1;;;;;;;;1;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Placas Pare;;2020
01/01/2020;12:09:00;SEM VÍTIMA;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;CHOQUE VEÍCULO PARADO;1;;;;;1;;;0;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;2020
01/01/2020;15:00:00;SEM VÍTIMA;ROSARINHO;RUA CAPITAO SAMPAIO XAVIER;ABALROAMENTO TRANSVERSAL;2;;;;;;;;0;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;2020
01/01/2020;15:03:00;SEM VÍTIMA;TORRÕES;RUA QUINZE DE MARCO;COLISÃO TRASEIRA;2;;;;;;;;0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;40 km/h;2020
01/01/2020;16:46:00;SEM VÍTIMA;BOMBA DO HEMETÉRIO;RUA BOMBA DO HEMETERIO;COLISÃO FRONTAL;2;;;;;;;;0;;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;R-6a;;2020
01/01/2020;16:56:00;SEM VÍTIMA;SAN MARTIN;RUA VINTE E UM DE ABRIL;ABALROAMENTO TRANSVERSAL;1;1;;;;;;;0;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;2020
01/01/2020;23:46:00;COM VÍTIMA;BOA VIAGEM;RUA DEZ DE JULHO;COLISÃO FRONTAL;1;1;;;;;;;1;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;Placas Pare;;2020
01/01/2020;23:50:00;SEM VÍTIMA;CORDEIRO;AV ENGENHEIRO ABDIAS DE CARVALHO;ABALROAMENTO TRANSVERSAL;2;;;;;;;;0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;2020
02/01/2020;06:14:00;COM VÍTIMA;AREIAS;AV RECIFE;ABALROAMENTO LONGITUDINAL;;1;;;1;;;;1;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;2020
02/01/2020;07:20:00;SEM VÍTIMA;PAISSANDU;AV GOVERNADOR AGAMENON MAGALHAES;COLISÃO TRASEIRA;2;;;;;;;;0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Outras;60 km/h;2020
