codigo,nome,uf,indicador
394460043975,MINISTERIO DA ECONOMIA,DF,NÃO CONTRIBUINTE
10779511000298,INSTITUTO FEDERAL DE ED. CIENCIA E TEC. FLUMINENSE,RJ,CONTRIBUINTE ISENTO
4079233000182,LABORATORIO NACIONAL DE COMPUTACAO CIENTIFICA,RJ,NÃO CONTRIBUINTE
394494004042,SUPERINTENDENCIA DO DEP.DE POL.FED.SP,SP,NÃO CONTRIBUINTE
7526983003754,SUPERINT. REG. DO TRAB. E EMPR. EM SAO PAULO-SRTE/SP,SP,NÃO CONTRIBUINTE
394460012310,MINISTERIO DA ECONOMIA,SP,NÃO CONTRIBUINTE
42414284001346,COLEGIO PEDRO II,RJ,NÃO CONTRIBUINTE
396895002845,MINIST DA AGRIC PECUARIA E ABASTECIMENTO SUP FEDERAL EST SP,SP,NÃO CONTRIBUINTE
1263896003341,MINISTERIO DA CIENCIA TECNOLOGIA INOVACOES E COMUNICACOES,DF,NÃO CONTRIBUINTE
3568867000136,HOSPITAL DAS FORCAS ARMADAS,DF,NÃO CONTRIBUINTE
394536001291,MINISTERIO DAS RELACOES EXTERIORES,DF,NÃO CONTRIBUINTE
396895001016,MINISTERIO DA AGRICULTURA PEACUARIA E ABASTECIMENTO,DF,CONTRIBUINTE ISENTO
24098477000110,UNIVERSIDADE FEDERAL DA PARAIBA,PB,NÃO CONTRIBUINTE
7518297000120,CENTRO INTEGRADO DE TELEMATICA DO EXERCI,DF,NÃO CONTRIBUINTE
5914685000103,CONTROLADORIA GERAL DA UNIAO,DF,NÃO CONTRIBUINTE
394544005063,MINISTERIO DA SAUDE,MT,CONTRIBUINTE ISENTO
5756246000454,SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS DO MINIS. DA CIDAD,DF,NÃO CONTRIBUINTE
394544003605,MINISTERIO DA SAUDE,MT,NÃO CONTRIBUINTE
394544004504,MINISTERIO DA SAUDE,MT,NÃO CONTRIBUINTE
394544017150,MIN DA SAUDE - INST NACIONAL DO CANCER,RJ,NÃO CONTRIBUINTE
95591764000105,UNIVERSIDADE FEDERAL DE SANTA MARIA,RS,CONTRIBUINTE ICMS
10783898000175,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E,PB,NÃO CONTRIBUINTE
7549168000108,2º BATALHAO DE ENGENHARIA DE CONSTRUCAO,PI,CONTRIBUINTE ISENTO
75095679000149,UNIVERSIDADE FEDERAL DO PARANA,PR,CONTRIBUINTE ISENTO
17220203000196,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,MG,NÃO CONTRIBUINTE
42414284000102,COLEGIO PEDRO II,RJ,CONTRIBUINTE ISENTO
9576937000184,COMANDO DA 4A REGIAO MILITAR,MG,NÃO CONTRIBUINTE
38166000105,BANCO CENTRAL DO BRASIL,DF,NÃO CONTRIBUINTE
9561263000225,HOSPITAL DE GUARNICAO DE SAO GABRIEL DA CACHOEIRA,AM,CONTRIBUINTE ISENTO
9234494000143,SECRETARIA ESPECIAL DE COMUNICACAO SOCIAL,DF,NÃO CONTRIBUINTE
34023077000107,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,RJ,NÃO CONTRIBUINTE
32479164000130,HOSPITAL UNIVERSITARIO CASSIANO ANTONIO MORAES,ES,NÃO CONTRIBUINTE
59311002099,FUNDACAO NACIONAL DO INDIO (CFPE URU EU WAU WAU),RO,NÃO CONTRIBUINTE
10637926001207,INSTITUTO FEDERAL DO RS / CAMPUS IBIRUBA,RS,NÃO CONTRIBUINTE
9595355000145,1 BATALHAO DE INFANTARIA DE SELVA (AEROMOVEL),AM,NÃO CONTRIBUINTE
