,nome,codigo,descricao
0,HP RESERVATORIO DE RESIDUO DE TONER,84439939,Outras partes e acessórios para aparelhos de fotocópia eletrostático
1,MLTD201LXAZ CARTUCHO DE TONER PRETO 20K PAGINAS,84439933,Cartuchos de revelador (toners)
33,SERVICOS RELACIONADOS AO MONITORAMENTO E RASTREAMENTO A DISTANCIA,-1,Sem descrição
34,Maxwell RSC Total Viral TNA Kit,38220090,Outros reagentes de diagnóstico ou de laboratório
37,OLEO DIESEL B S10,27101921,Gasóleo (óleo diesel)
39,REFERENTE A JORNAIS E REVISTAS DIGITAL NO PERIODO DE 01/12/2021 A 31/12/2021,49029000,"Outros jornais e publicações periódicas, impressos, mesmo ilustrados ou que contenham publicidade"
46,OXIGENIO LIQUIDO GRANEL,28044000,Oxigênio
48,GASOLINA COMUM,27101259,"Outras gasolinas, exceto para aviação"
49,MESA DE TRABALHO 1400X600MM S/ GAV,94033000,"Móveis de madeira, do tipo utilizado em escritórios"
51,LARANJA,8051000,"Laranjas, frescas ou secas"
52,UVA ITALIA,8061000,Uvas frescas
53,CENOURA,7069000,"Beterrabas, rabanetes e outras raízes, frescas, refrigeradas"
54,TOMATE,7020000,"Tomates, frescos ou refrigerados"
55,"OVO, TAMANHO GRANDE, ORIGEM GALINHA, BRANCO",4072900,Ovos frescos de outras aves
58,NIPLE EMENDA 1/4,39174090,"Outros acessórios para tubos, de plásticos"
59,PLACA LED ILUMINACAO,94051099,"Lustres e aparelhos iluminadores elétricos, de outros materiais, para teto/parede"
60,VALVULA 5 VIAS COM CONEXAO,84812090,Outras válvulas para transmissões óleo-hidráulicas ou pneumáticas
61,BANQUETA ALTA S/ENCOSTO,94031000,"Móveis de metal, do tipo utilizado em escritórios"
62,GAVETA MTCO COMPLETA,90299010,Partes e acessórios de indicadores de velocidade e tacômetros
67,LONGARINA ISO 3 LUGARES,94017900,Outros assentos com armação de metal
68,CADEIRA SECRETARIA GIRATORIA  S/BCO,94039090,"Partes para móveis, de outras matérias"
70,INTERRUPTOR ALERTA,85365090,"Outros interruptores, etc, de circuitos elétricos, para uma tensão não superior a 1.000 V"
71,LANTERNA TRASEIRA LED,85122021,Luzes fixas para automóveis e outros ciclos
72,SIRENE DE RE,85123000,"Aparelhos de sinalização acústica, dos tipos utilizados em ciclos ou automóveis"
74,PAO DOCE DE COCO,21069090,Outras preparações alimentícias
78,NUT PARENT INFANTIL ATE 50 ML (POR ML - HUCAM),30049099,"Outros medicamentos contendo produtos para fins terapêuticos, etc, doses"
79,CREME DENTAL 90G,33061000,Dentifrícios
80,LEITE,4012090,"Outros leites e cremes, com um teor, em peso, de matérias gordas, superior a 1 %, mas não superior a 6 %, não concentrados nem adicionados de açúcar ou de outros edulcorantes"
81,DESKTOP DELL VOSTRO 3681 I3-10100 SYSTLINUX 8GB HDD 1TB,84715010,"Unidade de processamento digital de pequena capacidade,baseadas em microprocessadores,com capacidade de instalação,dentro do mesmo gabinete,de unidades de memória da subposição 8471.70,podendo conter múltiplos slots, FOB <= US$ 12.500 por unidade"
82,Monitor Dell de 21.5' E2222HS,85285220,"Outros monitores, capazes de serem conectados diretamente a uma máquina automática para processamento de dados da posição 84.71 e concebidos para serem utilizados com esta máquina, policromáticos"
83,"Teclado Dell Alfanumerico de 107 Teclas, Padrao PTBR, KB216",84716052,Teclados para máquinas automáticas de processamento de dados
84,570-ABIE-DTO59_ES DELL MOUSE OPTICO MS116 PRETO,84716053,"Indicadores ou apontadores (mouse e track-ball, por exemplo), para máquinas automáticas de processamento de dados"
91,Cilindro Oxigenio Med PAT,73110000,"Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço"
94,HDD DESKTOP SEGATE,84717012,"Unidades de discos magnéticos, para discos rígidos"
95,"Cavadeira Articulada Cabo 1,80",82019000,"Outras ferramentas manuais para agricultura, horticultura e silvicultura"
96,Enxada Sul Red 22cm S/cabo,82013000,"Alviões, picaretas, enxadas, sachos, ancinhos e raspadeiras, de metais comuns"
99,Mangueira Trancada 1/2',39173900,Outros tubos de plásticos
101,"Eletrodo 6013 3,25mm",83111000,"Eletrodos revestidos exteriormente para soldar a arco, de metais comuns"
103,Nivel Alum 3 Bolhas 16' 400mm,90318099,"Outros instrumentos, aparelhos e máquinas de medida/controle"
104,Parafuso Sanitario B8 Zinc Am,73181500,"Outros parafusos e pinos ou pernos, mesmo com as porcas e arruelas, de ferro fundido, ferro ou aço"
105,Disco De Corte Duas Telas 7',68042211,"Mós de outros abrasivos aglomerados ou de cerâmica, de diâmetro inferior a 53,34 cm, aglomerados com resina"
108,Parafuso Zincado Rosca Soberba 5/16'x150mm,73181200,"Outros parafusos de ferro fundido/ferro/aço, para madeira"
114,Abracadeira Tipo U 1',73261900,"Outras obras simplesmente forjadas ou estampadas, de ferro ou aço"
116,Fita Isolante Antichama 19mm X 20m Pr,39199090,"Outras chapas, folhas, tiras, fitas, películas e outras formas planas, auto-adesivas, de plásticos, mesmo em rolos, de outras matérias"
117,Passador Fio 20m Ponta Metal,85444200,"Outros condutores elétricos tensão <= 100 v, com peças de conexão"
119,Disco Diamantado Segmentado 110x20mm,68042119,"Outros mós de diamante natural ou sintético, aglomerado, de diâmetro inferior a 53,34 cm"
121,Espacador Azulejo 2mm 100pcs,39259090,"Outros artefatos para apetrechamento de construções, de plásticos"
123,Facao Mato 12' Cb Polip,82014000,"Machados, podões e ferramentas semelhantes com gume, de metais comuns"
124,"Jogo Chave Phillips 1/8x3, 1/8x5, 3/16x4, 1/4x4",82054000,"Chaves de fenda, manuais, de metais comuns"
125,Trincha Media Cabo Preto 1' 301-003,96034090,"Escovas e pincéis para pintar, caiar, envernizar, etc, bonecas"
126,Rolo Espuma Polies 15cm Cb - Ref. 440-15,96034010,Rolos para pintura
130,Espatula Aco Cabo Pvc 10cm,82055900,"Outras ferramentas manuais, de metais comuns, uso doméstico"
131,Lona Polietileno 5m X 5m 100 Micras,63061200,"Encerados e toldos, de fibras sintéticas"
133,Lixa Massa Alvenaria E Madeira N 120 225x275,68052000,"Abrasivos naturais ou artificiais, em pó ou em grãos, aplicados sobre matérias têxteis, papel, cartão ou outras matérias, mesmo recortados, costurados ou reunidos de outro modo, aplicados apenas sobre papel ou cartão"
136,Chuveiro Pvc 1/2 4',39229000,"Outros artigos para usos sanitários ou higiênicos, de plásticos"
139,Torneira Boia 1/2 E 3/4 Universal,84818019,Outros dispositivos dos tipos utilizados em banheiros ou cozinhas
142,"Pa Concha Quadrada Com Cabo 1,20 M",82011000,Pás de metais comuns
145,Gelo Seco Nuggets .,28112100,Dióxido de carbono
153,Nitrogenio Liq Caminhao Tanque,28043000,Nitrogênio (azoto)
155,SHELL JET A GRANEL,27101911,Querosenes de aviação
156,AMOSTRAS DE AGUA PARA ANALISE,22021000,"Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas"
157,COOLING TURBINE PN: 2204540-5 SN:  157,88033000,Outras partes de aviões ou de helicópteros
179,OUTROS/BLINDAGEM DO GERADOR DE TECNECIO,39239000,"Outros artigos de transporte ou de embalagem, de plásticos"
180,CARNE CONGELADA SEM OSSO,2062990,"Outras miudezas comestíveis de bovino, congeladas"
184,"IMPRESSORA MULTIFUNCIONAL HP DESKJET INK, ADVANTAGE 2774, COLORIDA, WI-FI, BIVOLT",84433111,"Impressora de jato de tinta líquida, com largura de impressão inferior ou igual a 420 mm"
190,"IMPR. MULT HP M428FDW 38PPM, LASER IMP.1200X1200 DPI, 1200MHZ, 512MB MEM, CICLO 80.000 PAGINAS",84433222,"Impressoras de impacto, de caracteres braille"
192,CAFE PELE TRADICIONAL TM VACUO 250G,9012100,"Café torrado, não descafeinado"
196,ALFACE CRESPA,7051900,Outras alfaces frescas ou refrigeradas
197,BATATA DOCE,7142000,"Batatas-doces, frescas, refrigeradas, congeladas ou secas"
200,LIMAO TAHITI,8055000,"Limões (Citrus limon, Citrus limonum) e limas (Citrus aurantifolia, Citrus latifolia), frescos ou secos"
201,PEPINO COMUM,7070000,"Pepinos e pepininhos (cornichons), frescos ou refrigerados"
204,CHUCHU,7108000,"Outros produtos hortícolas congelados, não cozidos ou cozidos em água ou vapor, congelados"
208,SALSA,7052900,"Outras chicórias, frescas ou refrigeradas"
225,"Pao, tipo doce com creme 50g",19059090,"Outros produtos de padaria, pastelaria, indústria de biscoitos, etc"
228,MAC.INST.NISSIN ESPAGUETE T.5,19023000,Outras massas alimentícias
230,BROCA 1.5 STOP 9.0MM                     RA: 80094170022 LT: 936900,90189099,"Outros instrumentos e aparelhos para medicina, cirurgia, etc"
262,PLACA RETA 4 FUROS ESPESSURA 1MM REGULAR RA: 80094170030 LT: 768150,90211020,Artigos e aparelhos para fraturas
392,PLACA DE CONDILO ESQ 2.4 MM              RA: 80094170081 LT: 332540,90213190,Outras próteses articulares
496,FRASCO REAGENTE GRADUADO PLASTICO 250ML,39269040,"Artigos de laboratório ou de farmácia, de plásticos"
498,CALHA 19 08 TOMADAS 2P+T,85366990,"Outras tomadas de corrente, para uma tensão não superior a 1.000 V"
499,CAIXA DE EMENDA OPTICA AEREA 24F,85367000,"Conectores para fibras ópticas, feixes ou cabos de fibras ópticas"
500,HASTE TERRA 3/8 X 2.4M,73269090,Outras obras de ferro ou aço
