codigo;razao_social;inscricao_estadual;uf;municipio
7432517001847;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;257477446;SC;ITAJAI
40281347000174;AUTOTRAC COMERCIO TELECOMUNICACOES S/A;732603900170;DF;BRASILIA
11909227000170;PROMEGA BIOTECNOLOGIA DO BRASIL LTDA;147676553118;SP;SAO PAULO
33372251010038;IBM BRASIL INDUSTRIA MAQUINAS E SERVICOS LTDA;733352200244;DF;BRASILIA
72843212000818;CENTURYLINK COMUNICAÇÕES DO BRASIL LTDA.;740389100246;DF;BRASILIA
2836813000141;MILLENIUM COM DERIV DE PETROLEO LTDA;131897306;MT;BARRA DO GARCAS
14860358000107;SAMIO BANDEIRA-ME;759542200150;DF;BRASILIA
2896716000144;D E CERUTTI & CIA LTDA;131915509;MT;PRIMAVERA DO LESTE
24503991000193;AUTO POSTO REZENDAO LTDA;136246699;MT;CAMPINAPOLIS
19967950000207;L LUCIA KUHN E CIA LTDA EPP;136835112;MT;CANARANA
10590296000100;AUTO POSTO MARTINI LTDA;133664465;MT;AGUA BOA
60619202003406;MESSER GASES LTDA;81262810;RJ;RIO DE JANEIRO
7473735015022;SIM REDE DE POSTOS LTDA - SANTA MARIA AEROPORTO;1090398996;RS;SANTA MARIA
4063503000167;SANTA TEREZINHA IND E COM MOVEIS EPP;103541900;GO;GOIANIA
19568836000115;L E C COMERCIO DE ALIMENTOS LTDA;195350081;PI;TERESINA
13338067000182;TRY-AR ACESSORIOS E TACOGRAFOS EIRELI;9055097566;PR;CURITIBA
2660659000108;D D SILVA ALVES ME;41427122;AM;SAO GABRIEL DA CACHOEIRA
36938159000107;REDUTO DIGITAL SERVICOS DE COMUNICACAO MULTIMIDIA LTDA;797577600106;DF;BRASILIA
14724626000155;NUTRISOLUTION NUTRICAO COM PROD HOSP ONCO LTDA EPP;82840970;ES;VILA VELHA
37937325000105;KARLA KAROLINE FONTES MENESES;271711728;SE;NOSSA SENHORA DO SOCORRO
4355355000154;COOPERATIVA DE PEQUENOS AGROPECUARISTAS DE IBIRUBA LTDA;640032508;RS;IBIRUBA
35316374000103;SILVANE CRISTINA DOS SANTOS VICENTE;518030217116;SP;PEDREGULHO
35820448000721;WHITE MARTINS GASES INDUSTRIAIS LTDA;83118113;RJ;DUQUE DE CAXIAS
33693086000134;POSTO TIGRAO RC LTDA;130945757;MT;RIBEIRAO CASCALHEIRA
32005178000111;EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESALENTES E AUTOMAÇÃO;131286653111;SP;SAO PAULO
8658622000113;J.J.VITALLI;490046894;RS;FREDERICO WESTPHALEN
35820448008110;WHITE MARTINS GASES INDUSTRIAIS LTDA;286000770110;SP;DIADEMA
15112947000161;A & S DERIVADO DE PETROLEO EIRELI;103293700118;AC;RIO BRANCO
3189859000502;POSTO PEDRO NECA LTDA;137218567;MT;CACERES
1226416000195;NUTRIMED SERV.MEDICOS EM NUTRI.PARENTERAL E ENTERAL LTDA;85934112;RJ;CAMPOS DOS GOYTACAZES
33453598011249;RAIZEN S.A.;5589076;BA;ILHEUS
33000167081942;PETROLEO BRASILEIRO S.A.;81913951;RJ;RIO DE JANEIRO
8057011000110;ATM MANUTENÇÃO DE AERONAVES E TURBINAS LTDA.;283416203;MS;CAMPO GRANDE
339564000153;DESAFIO JOVEM DE BRASILIA;769400100110;DF;BRASILIA
478727000189;AGROSERVICE EMPREITEIRA AGRICOLA - EIRELI;795095500155;DF;BRASILIA
5613242000174;R2 RADIODIFUSAO E TELECOMUNICACOES - LTDA;769470700108;DF;BRASILIA
10917822000195;UNIVERSO SOLUÇÕES TÉCNICAS EIRELI;752286600193;DF;BRASILIA
2811716000102;"ALESSIO DECKER &AMP; CIA LTDA";131844202;MT;GAUCHA DO NORTE
19967950000118;L LUCIA KUHN E CIA LTDA EPP;135428165;MT;QUERENCIA
32088356000115;INSTITUTO DE SAUDE AVANCADA LTDA.;ISENTO;MG;UBERLANDIA
29233371000103;BOIPORE COM. DE CARNES E DERIVADOS EIRELI EPP;107168421;GO;APORE
17138551000119;RRP COMERCIO DE COMBUSTIVEIS LTDA - CRUZEIRO DO SUL;134702999;MT;SINOP
36767824000139;S B FRAZAO;126405417;MA;SAO LUIS
18022755000152;AUTO POSTO AGUA BOA LTDA;134974891;MT;AGUA BOA
10737595000116;VIEIRA & PIZZOLI VIEIRA LTDA;133731251;MT;MATUPA
8784976000104;SEVENTEC TECNOLOGIA E INFORMATICA LTDA EPP;10640950027;MG;SETE LAGOAS
8021493000158;AUTO POSTO SAO ROQUE LTDA - ME;293940142;TO;LAGOA DO TOCANTINS
33431729000171;ONLINE COMERCIO IMPORTACAO E EXPORTACAO EIRELI - ME;83562354;ES;VILA VELHA
34597955000432;WHITE MARTINS GASES INDSNORTE LTDA;63001292;AM;MANAUS
4244054000153;AUTO POSTO ROSA LTDA;9022821145;PR;NOVA LARANJEIRAS
4363876000153;COOPERATIVA AGRICOLA DA REGIAO DE PLANALTINA-DF;742095500197;DF;BRASILIA
3646889000177;BOM JESUS COMERCIO DE PETROLEO LTDA;131927574;MT;SAO FELIX DO ARAGUAIA
24380578003285;WHITE MARTINS GASES INDUSTRIAIS NE LTDA;68572018;CE;FORTALEZA
4390887000122;PADARIA MARIA FARINHA LTDA ME;77175040;RJ;RIO DE JANEIRO
32951238000199;MANENTI E MANENTI LTDA;130712051;MT;PONTES E LACERDA
75315333001695;ATACADAO S.A.;57746966;BA;SALVADOR
4715053000140;DENUO MEDIC IMP E EXP LTDA;141555727116;SP;SAO PAULO
18258829000154;PHGEN COMERCIO DE PRODUTOS MEDICOS EIRELI EPP;142466151110;SP;SAO PAULO
17101531000173;MICROCABLE EQUIPAMENTOS E SERVICOS LTDA;256877912;SC;LAGES
35304406000142;GUILHERME DE JESUS SILVA 06261748136;794657900160;DF;BRASILIA
27461505000100;F. L. J. EMPREENDIMENTOS LTDA - EPP;105254400199;AC;TARAUACA
5446152000136;ASL COMERCIO E SERVICOS EIRELI;77496572;RJ;RIO DE JANEIRO
24822919000129;COOPERATIVA DOS PRODUTORES RURAIS DE PLANALTINA DE GOIAS E R;106681303;GO;PLANALTINA
2025786000127;POSTO TABOCAO XVI LTDA;102950997;GO;ITABERAI
29138207000109;LOPES COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;144967982;BA;BRUMADO
31900031000122;LENISA DISTRIBUIDORA LTDA;11286518;RJ;RIO DE JANEIRO
1607033000167;BEBA MAIS PIRACICABA DISTRIBUIDORA DE BEBIDAS LTDA;535211234119;SP;PIRACICABA
40225662000184;MICHAEL BRUM MORDINI 03641130905;ISENTO;PR;CURITIBA
41950966000177;ALPS LABOR ARTIGOS, PRODUTOS MAQUINAS E EQUIPAMENTOS;805545100129;DF;BRASILIA
41686317000100;BEATRIZ NOGUEIRA CIRILLO 52839676893;798494519111;SP;SOROCABA
32021272000164;L Q DE JESUS;54055776;AM;COARI
14607609001100;JETFLY REVENDEDORA DE COMBUSTIVEIS LTDA;205272827;RN;PARNAMIRIM
1838723041311;BRF S.A.;79810169;RJ;DUQUE DE CAXIAS
30201472000173;MS COMERCIO DE PRODUTOS ALIMENTICIOS E MATERIAIS DE CONSTRUC;76769135;PE;CUMARU
27274178000187;TJ COMERCIO DE PRODUTOS EIRELI - ME;4743318;RO;ARIQUEMES
34770156000173;LAPTOP COMERCIO DE PRODUTOS DE INFORMATICA EIRELI;291471;RO;ARIQUEMES
2377254000159;UNIVERSAL COMERCIAL DE FRUTAS E VERDURAS LTDA;41377710;AM;MANAUS
9665658000197;OMEGA SERVICOS INTEGRADOS;42350093;AM;MANAUS
4754586000130;BELEM RADIO DIFUSAO LTDA - EPP;151450307;PA;BELEM
4760351000151;CARAJAS FM LIMITADA;152344527;PA;BELEM
83929976000170;R C ZAGALLO MARQUES & CIA LTDA;151850682;PA;BELEM
2498903000170;NUTRINE NUTRIMENTOS NORDESTE EIRELI;62658670;CE;FORTALEZA
42904099000104;ANTONIO RAFAEL DAMASCENO MOTA 05680788373;70095540;CE;FORTALEZA
31066359000195;JOSE WILTON MARTINS COELHO 01602620385;67727999;CE;FORTALEZA
41543230000184;JEAN FELIPE FERREIRA FELICIANO 04671698374;61709271;CE;BAIXIO
27614808000204;CHRISTIANNE AMORIM BENJAMIN COMERCIO DE AGUAS;69937257;CE;FORTALEZA
30406114000105;BERNARDO DE SOUZA & CIA LTDA;67641873;CE;IGUATU
1663156000115;VITALLIS DIAGNOSTICA LTDA;200937936;RN;NATAL
4040450000169;NORDE LAB COMERCIO E REP LTDA;200867768;RN;NATAL
28973072000134;CARLA KATIANE DE OLIVEIRA;204820600;RN;MOSSORO
30386911000160;L S MOURA DISTRIBUIDORA EIRELI;204926327;RN;NATAL
821449000110;ROSEMBLITH DE ARAUJO SILVA;161100775;PB;JOAO PESSOA
6926367000117;MEGAFERR COMERCIO DE FERRAMENTAS LTDA - ME;34049436;PE;RECIFE
22401344000145;ALLIANCE MEDINFUSION;62483498;PE;RECIFE
28384489000161;VERVANA HORTI & FRIOS LTDA;73249874;PE;GARANHUNS
5400006000170;FABMED DISTRIBUIDORA HOSPITALAR LTDA;58699102;BA;FEIRA DE SANTANA
8395821000186;MEDTEST DIAG. COM. IMPOR DE MAT. MEDICOS;72433833;BA;LAURO DE FREITAS
503644000100;BRASFERMA LTDA;629204590008;MG;BELO HORIZONTE
1095360000187;METALVEST INDÚSTRIA E COMÉRCIO EIRELI;629649230024;MG;BELO HORIZONTE
1722901000150;COML ELETRICA CIDADE LTDA;7023443370021;MG;UBERLANDIA
2291141000136;CR MAQUINAS E EQUIPAMENTOS EIRELI;10635010003;MG;ITAJUBA
3368371000119;DANILO APARECIDO BORELLA - EPP;1861705000099;MG;CONTAGEM
4846613000103;CELER BIOTECNOLOGIA S/A;623111020036;MG;BELO HORIZONTE
7048323000102;RC RAMOS COMERCIO LTDA ME;12304840078;MG;UBERLANDIA
8676370000155;DIST. DE MEDICAMENTOS PRO SAUDE LTD;10428180043;MG;UBERLANDIA
13579783000151;MARCELO MOHALLEM EPP;17666040024;MG;ITAJUBA
17238122000113;MERCADAO DO PRODUTOR DE JANUARIA EIRELI;3523702840063;MG;JANUARIA
21268634000108;MULTIPLIER DISTRIBUIDORA EIRELI EPP;24525260050;MG;UBERLANDIA
25052801000121;ANA FLAVIA GARCIA CHAGAS ME;27821910090;MG;BOA ESPERANCA
26003411000124;GISELI GUERREIRO GONCALES;28174520040;MG;ARAGUARI
29455568000189;DISTRIBUIDORA VIB LTDA;31116140012;MG;JUIZ DE FORA
37898479000135;ALPHA COMERCIO DE MATERIAIS DESCARTAVEIS E LIMPEZA LTDA;37949240083;MG;VARGINHA
11923577000191;J.B COMERCIO E SERVICOS EIRELI EPP;82709734;ES;LINHARES
21344057000188;YM COMERCIO E SERVICOS LTDA;83409491;ES;VITORIA
26863493000187;WR LICITACOES INDUSTRIA, COMERCIO E SERVICOS LTDA;83235779;ES;CARIACICA
27355635000168;MECANICA DO TREVO PECAS E ACES. LTDA - EPP;80682944;ES;LINHARES
27874317000103;ARGUS ATACADISTA LTDA;83322345;ES;LINHARES
42682040000100;H MARTINS COMERCIO E SERVICOS LTDA;83788140;ES;VITORIA
65147399000183;SET COMPUTADORES E SERVICOS LTDA;83695885;ES;SERRA
1015704000109;RUNTIME ELETRONICA LTDA. - ME;85610384;RJ;NOVA FRIBURGO
2340772000106;CIRURGICA COPACABANA 2000 EIRELI;86314525;RJ;RIO DE JANEIRO
2482141000113;DENTAL BONSUCESSO PRODUTOS ODONTOLOGICOS LTDA;86331829;RJ;RIO DE JANEIRO
11909283000105;IP RAMOS COM.DE MAT.DE LIMPEZA;79059536;RJ;RIO DE JANEIRO
12208470000124;NOVA MAY COM. DE DESC. LIMPEZA LTDA;79120081;RJ;RIO DE JANEIRO
14883212000179;4-MEDICA PRODUTOS HOSPITALARES EIRELI;79590380;RJ;RIO DE JANEIRO
16566588000185;SERMED COMERCIO DE MATERIAL HOSPITALAR LTDA EPP;79721948;RJ;RIO DE JANEIRO
17526067000167;VIPE COMERCIAL EIRELI EPP;79863360;RJ;RIO DE JANEIRO
20515983000106;TOP MIX COMERCIO E SERVIÇOS EIRELI - EPP;87201996;RJ;RIO DE JANEIRO
20676345000177;PROEXI COMERCIO EXPORTACAO E IMPORTACAO;86743477;RJ;RIO DE JANEIRO
22965625000120;LABUTAR DISTRIBUIDORA E PRESTADORA DE SERVICOS EIRELI;86976196;RJ;RIO DE JANEIRO
23121810000100;G A - MEDICAL LTDA;86997789;RJ;BARRA MANSA
31004013000162;LIVRARIA DA TRAVESSA LTDA;83072091;RJ;RIO DE JANEIRO
31004013000839;LIVRARIA DA TRAVESSA LTDA;78177225;RJ;RIO DE JANEIRO
31004013001053;LIVRARIA DA TRAVESSA LTDA;78769220;RJ;RIO DE JANEIRO
33456582000174;BELLA 2 COMERCIO DE DESCARTAVEIS LTDA;11418945;RJ;RIO DE JANEIRO
40175705000164;CEI COMERCIO EXP E IMP DE MAT MED LTDA;84248304;RJ;RIO DE JANEIRO
41017223000149;ZENITE COMERCIO E IMPORTACAO EIRELI;11998054;RJ;RIO DE JANEIRO
42429480000150;FUNDACAO UNIVERSITARIA JOSE BONIFACIO;95003494;RJ;RIO DE JANEIRO
42658139000177;SL SALES COMERCIO E SERVICOS EIRELI;12139560;RJ;RIO DE JANEIRO
462691000145;UPS SCS LOGISTICA BRASIL LTDA.;241050370111;SP;CAJAMAR
1061762000160;DELFINI INDUSTRIA COMERCIO LTDA;181130211110;SP;ARARAQUARA
1231358000198;LIMA GAS DISTRIBUIDORA EIRELLI;114695354116;SP;SAO PAULO
1346134000121;GG COMERCIO DE MAT CONSTR FERN. EIRELI;304044627111;SP;FERNANDOPOLIS
1689548000153;RARAPER SERVICOS AUTOMOTIVOS LTDA;645248647117;SP;SAO JOSE DOS CAMPOS
4919019000197;ALFAPLAST COM. PROD. P/ LAB. LTDA. ME.;116362593114;SP;SAO PAULO
9568406000140;ASSOC. PROD. E OLER. DE LINS E REGIAO;419052542111;SP;LINS
10176887000127;NITROVALLE DISTRIBUIDORA DE NITROGENIO LIQUIDO EIRELI;304134858110;SP;FERNANDOPOLIS
10221978000137;EE9 COMERCIO DE PECAS AUTOMOTIVAS LTDA  EPP;148220289119;SP;SAO PAULO
10607658000110;COOP DA AGRICULT FAMILIAR E AGROECOLOGIA (COOPERACRA);165367879115;SP;AMERICANA
11311279000140;EUNICE MARIA GONCALVES DE OLIVEIRA- EPP;148876263111;SP;SAO PAULO
15448112000187;PINEX COMERCIAL IMPORTADORA E SERVICOS - EPP;145221150116;SP;SAO PAULO
16695242000187;CONTROLSAFE COM DE EQUIP. DE SEG. EIRELI;669787023114;SP;SOROCABA
26469329000190;PNEUVALE AUTO CENTER LTDA;645808829116;SP;SAO JOSE DOS CAMPOS
28545344000103;QUIMIGOL IMPORTACAO E COMERCIO LTDA;118471511118;SP;SAO PAULO
28863509000187;LUFT COMERCIO ELETRONICO E LOGISTICA LTDA;241101434111;SP;CAJAMAR
30754325000120;MEDSI DISTRIBUIDORA DE MEDICAMENTOS LTDA.;798154461116;SP;SOROCABA
32075199000103;CUBOMED  COMERCIO ATACADISTA DE PRODUTOS PARA SAUDE EIRELI;636374068119;SP;SAO CAETANO DO SUL
44456192000110;MOTOCLINICA COM PEC SERV AUTOS LTDA;209031718112;SP;BAURU
2536680000198;HYPERDINAMICA REPRESENT COMERCIAIS LTDA;9020125753;PR;CURITIBA
6983028000172;S CERON DE OLIVEIRA;9087840147;PR;PITANGA
8331877000177;ADVANCED COMERCIO DE EQUIPAMENTOS LTDA;9038484483;PR;CURITIBA
10670020000123;MI COMERCIO DE MATERIAS LTDA;9047283814;PR;CURITIBA
