,codigo,nome,indicador,uf
0,7432517001847,SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA,257477446,SC
1,40281347000174,AUTOTRAC COMERCIO TELECOMUNICACOES S/A,"7,32604E+11",DF
2,11909227000170,PROMEGA BIOTECNOLOGIA DO BRASIL LTDA,"1,47677E+11",SP
3,33372251010038,IBM BRASIL INDUSTRIA MAQUINAS E SERVICOS LTDA,"7,33352E+11",DF
4,72843212000818,CENTURYLINK COMUNICAÇÕES DO BRASIL LTDA.,"7,40389E+11",DF
5,2836813000141,MILLENIUM COM DERIV DE PETROLEO LTDA,131897306,MT
6,14860358000107,SAMIO BANDEIRA-ME,"7,59542E+11",DF
7,2896716000144,D E CERUTTI & CIA LTDA,131915509,MT
8,24503991000193,AUTO POSTO REZENDAO LTDA,136246699,MT
9,19967950000207,L LUCIA KUHN E CIA LTDA EPP,136835112,MT
10,10590296000100,AUTO POSTO MARTINI LTDA,133664465,MT
11,60619202003406,MESSER GASES LTDA,81262810,RJ
12,7473735015022,SIM REDE DE POSTOS LTDA - SANTA MARIA AEROPORTO,1090398996,RS
13,4063503000167,SANTA TEREZINHA IND E COM MOVEIS EPP,103541900,GO
14,19568836000115,L E C COMERCIO DE ALIMENTOS LTDA,195350081,PI
15,13338067000182,TRY-AR ACESSORIOS E TACOGRAFOS EIRELI,9055097566,PR
16,2660659000108,D D SILVA ALVES ME,41427122,AM
17,36938159000107,REDUTO DIGITAL SERVICOS DE COMUNICACAO MULTIMIDIA LTDA,"7,97578E+11",DF
18,14724626000155,NUTRISOLUTION NUTRICAO COM PROD HOSP ONCO LTDA EPP,82840970,ES
19,37937325000105,KARLA KAROLINE FONTES MENESES,271711728,SE
20,4355355000154,COOPERATIVA DE PEQUENOS AGROPECUARISTAS DE IBIRUBA LTDA,640032508,RS
21,35316374000103,SILVANE CRISTINA DOS SANTOS VICENTE,"5,1803E+11",SP
22,35820448000721,WHITE MARTINS GASES INDUSTRIAIS LTDA,83118113,RJ
23,33693086000134,POSTO TIGRAO RC LTDA,130945757,MT
24,32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESALENTES E AUTOMAÇÃO,"1,31287E+11",SP
25,8658622000113,J.J.VITALLI,490046894,RS
26,35820448008110,WHITE MARTINS GASES INDUSTRIAIS LTDA,"2,86001E+11",SP
27,15112947000161,A & S DERIVADO DE PETROLEO EIRELI,"1,03294E+11",AC
28,3189859000502,POSTO PEDRO NECA LTDA,137218567,MT
29,1226416000195,NUTRIMED SERV.MEDICOS EM NUTRI.PARENTERAL E ENTERAL LTDA,85934112,RJ
30,33453598011249,RAIZEN S.A.,5589076,BA
31,33000167081942,PETROLEO BRASILEIRO S.A.,81913951,RJ
32,8057011000110,ATM MANUTENÇÃO DE AERONAVES E TURBINAS LTDA.,283416203,MS
33,339564000153,DESAFIO JOVEM DE BRASILIA,"7,694E+11",DF
34,478727000189,AGROSERVICE EMPREITEIRA AGRICOLA - EIRELI,"7,95096E+11",DF
35,5613242000174,R2 RADIODIFUSAO E TELECOMUNICACOES - LTDA,"7,69471E+11",DF
36,10917822000195,UNIVERSO SOLUÇÕES TÉCNICAS EIRELI,"7,52287E+11",DF
37,2811716000102,ALESSIO DECKER &AMP; CIA LTDA,131844202,MT
38,19967950000118,L LUCIA KUHN E CIA LTDA EPP,135428165,MT
39,32088356000115,INSTITUTO DE SAUDE AVANCADA LTDA.,ISENTO,MG
40,29233371000103,BOIPORE COM. DE CARNES E DERIVADOS EIRELI EPP,107168421,GO
41,17138551000119,RRP COMERCIO DE COMBUSTIVEIS LTDA - CRUZEIRO DO SUL,134702999,MT
42,36767824000139,S B FRAZAO,126405417,MA
43,18022755000152,AUTO POSTO AGUA BOA LTDA,134974891,MT
44,10737595000116,VIEIRA & PIZZOLI VIEIRA LTDA,133731251,MT
45,8784976000104,SEVENTEC TECNOLOGIA E INFORMATICA LTDA EPP,10640950027,MG
46,8021493000158,AUTO POSTO SAO ROQUE LTDA - ME,293940142,TO
47,33431729000171,ONLINE COMERCIO IMPORTACAO E EXPORTACAO EIRELI - ME,83562354,ES
48,34597955000432,WHITE MARTINS GASES INDSNORTE LTDA,63001292,AM
49,4244054000153,AUTO POSTO ROSA LTDA,9022821145,PR
50,4363876000153,COOPERATIVA AGRICOLA DA REGIAO DE PLANALTINA-DF,"7,42096E+11",DF
51,3646889000177,BOM JESUS COMERCIO DE PETROLEO LTDA,131927574,MT
52,24380578003285,WHITE MARTINS GASES INDUSTRIAIS NE LTDA,68572018,CE
53,4390887000122,PADARIA MARIA FARINHA LTDA ME,77175040,RJ
54,32951238000199,MANENTI E MANENTI LTDA,130712051,MT
55,75315333001695,ATACADAO S.A.,57746966,BA
56,4715053000140,DENUO MEDIC IMP E EXP LTDA,"1,41556E+11",SP
57,18258829000154,PHGEN COMERCIO DE PRODUTOS MEDICOS EIRELI EPP,"1,42466E+11",SP
58,17101531000173,MICROCABLE EQUIPAMENTOS E SERVICOS LTDA,256877912,SC
59,35304406000142,GUILHERME DE JESUS SILVA 06261748136,"7,94658E+11",DF
60,27461505000100,F. L. J. EMPREENDIMENTOS LTDA - EPP,"1,05254E+11",AC
61,5446152000136,ASL COMERCIO E SERVICOS EIRELI,77496572,RJ
62,24822919000129,COOPERATIVA DOS PRODUTORES RURAIS DE PLANALTINA DE GOIAS E R,106681303,GO
63,2025786000127,POSTO TABOCAO XVI LTDA,102950997,GO
64,29138207000109,LOPES COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,144967982,BA
65,31900031000122,LENISA DISTRIBUIDORA LTDA,11286518,RJ
66,1607033000167,BEBA MAIS PIRACICABA DISTRIBUIDORA DE BEBIDAS LTDA,"5,35211E+11",SP
67,40225662000184,MICHAEL BRUM MORDINI 03641130905,ISENTO,PR
68,41950966000177,"ALPS LABOR ARTIGOS, PRODUTOS MAQUINAS E EQUIPAMENTOS","8,05545E+11",DF
69,41686317000100,BEATRIZ NOGUEIRA CIRILLO 52839676893,"7,98495E+11",SP
70,32021272000164,L Q DE JESUS,54055776,AM
71,14607609001100,JETFLY REVENDEDORA DE COMBUSTIVEIS LTDA,205272827,RN
72,1838723041311,BRF S.A.,79810169,RJ
73,30201472000173,MS COMERCIO DE PRODUTOS ALIMENTICIOS E MATERIAIS DE CONSTRUC,76769135,PE
74,27274178000187,TJ COMERCIO DE PRODUTOS EIRELI - ME,4743318,RO
75,34770156000173,LAPTOP COMERCIO DE PRODUTOS DE INFORMATICA EIRELI,291471,RO
76,2377254000159,UNIVERSAL COMERCIAL DE FRUTAS E VERDURAS LTDA,41377710,AM
77,9665658000197,OMEGA SERVICOS INTEGRADOS,42350093,AM
78,4754586000130,BELEM RADIO DIFUSAO LTDA - EPP,151450307,PA
79,4760351000151,CARAJAS FM LIMITADA,152344527,PA
80,83929976000170,R C ZAGALLO MARQUES & CIA LTDA,151850682,PA
81,2498903000170,NUTRINE NUTRIMENTOS NORDESTE EIRELI,62658670,CE
82,42904099000104,ANTONIO RAFAEL DAMASCENO MOTA 05680788373,70095540,CE
83,31066359000195,JOSE WILTON MARTINS COELHO 01602620385,67727999,CE
84,41543230000184,JEAN FELIPE FERREIRA FELICIANO 04671698374,61709271,CE
85,27614808000204,CHRISTIANNE AMORIM BENJAMIN COMERCIO DE AGUAS,69937257,CE
86,30406114000105,BERNARDO DE SOUZA & CIA LTDA,67641873,CE
87,1663156000115,VITALLIS DIAGNOSTICA LTDA,200937936,RN
88,4040450000169,NORDE LAB COMERCIO E REP LTDA,200867768,RN
89,28973072000134,CARLA KATIANE DE OLIVEIRA,204820600,RN
90,30386911000160,L S MOURA DISTRIBUIDORA EIRELI,204926327,RN
91,821449000110,ROSEMBLITH DE ARAUJO SILVA,161100775,PB
92,6926367000117,MEGAFERR COMERCIO DE FERRAMENTAS LTDA - ME,34049436,PE
93,22401344000145,ALLIANCE MEDINFUSION,62483498,PE
94,28384489000161,VERVANA HORTI & FRIOS LTDA,73249874,PE
95,5400006000170,FABMED DISTRIBUIDORA HOSPITALAR LTDA,58699102,BA
96,8395821000186,MEDTEST DIAG. COM. IMPOR DE MAT. MEDICOS,72433833,BA
